Time,TPS,Response time,Response time standard deviation
4940,14582,13245.0,7955.876666666667
4950,14882,13003.0,7717.346666666667
4960,13624,14349.333333333334,10538.106666666667
4970,11583,17894.333333333332,26565.96666666667
4980,14303,13310.666666666666,12419.936666666666
4990,13568,14491.333333333334,13636.333333333334
5000,11742,16337.666666666666,24354.986666666664
5010,14883,13221.333333333334,11682.136666666665
5020,13202,14465.0,13410.08
5030,13782,14312.333333333334,12304.863333333333
5040,14589,13321.666666666666,8250.12
5050,10491,24267.0,48250.530000000006
5060,14701,13141.0,9586.103333333333
5070,14903,12936.0,6815.493333333333
5080,14610,13273.333333333334,8428.050000000001
5090,14109,13725.666666666666,11264.523333333333
5100,14425,13389.0,10267.663333333332
5110,13645,14255.333333333334,14915.556666666665
5120,13293,14503.333333333334,14208.220000000001
5130,11937,16938.666666666668,24131.993333333332
5140,14082,14663.666666666666,15354.56
5150,14422,13364.666666666666,9159.609999999999
5160,13982,14210.333333333334,16464.193333333333
5170,14181,13797.333333333334,13211.13
5180,13339,14479.666666666666,13187.336666666668
5190,15343,12653.333333333334,6805.136666666666
5200,13726,13719.666666666666,11457.776666666667
5210,11596,23367.333333333332,44766.806666666664
5220,14760,13075.666666666666,8761.023333333333
5230,14645,13201.333333333334,8678.543333333333
5240,13969,13884.333333333334,14330.840000000002
5250,14072,13706.0,12813.233333333335
5260,13758,14136.333333333334,15672.316666666668
5270,14063,13746.333333333334,11872.5
5280,15522,12406.666666666666,6377.786666666667
5290,13692,14612.333333333334,15820.683333333334
5300,13846,13973.666666666666,14859.983333333332
5310,14513,13464.0,14626.85
5320,14693,13148.666666666666,8815.25
5330,13701,14379.333333333334,12171.76
5340,13769,14002.666666666666,11736.866666666667
5350,15360,12623.0,7971.053333333333
5360,13572,14245.333333333334,11802.9
5370,15092,12527.333333333334,8720.12
5380,14274,13817.666666666666,10356.09
5390,12415,15515.666666666666,21408.25
5400,15205,12630.0,12364.143333333333
5410,13802,13566.0,14134.61
5420,14465,13974.666666666666,12869.820000000002
5430,14230,13729.0,14028.85
5440,13402,14734.0,12658.506666666668
5450,13369,14261.333333333334,14932.923333333334
5460,12119,15807.0,19696.216666666667
5470,14721,14029.0,16733.78
5480,13249,14868.0,12415.046666666667
5490,13944,13828.333333333334,12796.85
5500,14796,13022.666666666666,7471.866666666666
5510,14478,13384.0,10432.019999999999
5520,15206,12674.333333333334,8355.186666666666
5530,14708,12976.0,10542.133333333333
5540,12833,14906.0,17760.163333333334
5550,14969,13344.666666666666,12540.99
5560,14360,13544.333333333334,12640.013333333334
5570,14977,12836.666666666666,7473.286666666667
5580,14126,13815.666666666666,13609.023333333333
5590,13639,14076.0,13693.49
5600,13297,14053.666666666666,11645.676666666666
5610,13273,15306.666666666666,20740.29333333333
5620,12065,16324.666666666666,27321.236666666664
5630,13000,14802.0,11942.676666666666
5640,14476,13517.333333333334,11351.623333333335
5650,13905,13852.0,13248.76
5660,13744,14166.0,15110.26
5670,15503,12548.333333333334,11632.806666666665
5680,15007,12902.666666666666,7942.216666666666
5690,14257,13525.666666666666,9769.43
5700,13795,14031.333333333334,16765.97
5710,15821,12408.333333333334,7689.446666666667
5720,11541,13459.0,9881.996666666668
5730,13398,16379.666666666666,30577.690000000002
5740,13535,15118.333333333334,18548.51
5750,13438,14520.666666666666,12318.173333333332
5760,14624,13166.333333333334,8464.103333333333
5770,11833,17523.666666666668,28661.496666666662
5780,14189,13561.0,7998.373333333334
5790,13141,15258.0,14081.063333333334
5800,14089,13713.666666666666,14574.173333333334
5810,13992,13818.0,14335.48666666667
5820,14858,13063.333333333334,10128.196666666669
5830,15770,12298.0,8581.859999999999
5840,14175,13670.0,9866.303333333335
5850,15464,12467.0,6644.4766666666665
5860,13023,14686.333333333334,14069.906666666668
5870,12350,13370.0,9129.403333333334
5880,13584,16847.666666666668,32262.803333333333
5890,14550,13242.333333333334,9958.99
5900,14174,13676.0,11596.6
5910,15031,12933.666666666666,8715.050000000001
5920,14640,13161.333333333334,8918.34
5930,12613,14854.666666666666,14908.643333333333
5940,12872,16852.666666666668,23704.39333333333
5950,13985,13791.0,13513.846666666666
5960,14009,13896.666666666666,13531.853333333333
5970,14198,13667.666666666666,15824.416666666666
5980,14676,13170.0,7977.583333333333
5990,14903,12954.0,8608.41
6000,14815,13101.0,8267.983333333332
6010,13203,14534.333333333334,14858.93
6020,13980,14060.0,12606.21
6030,12213,21119.666666666668,46912.10999999999
6040,14901,13065.333333333334,8419.98
6050,13330,14490.666666666666,13782.686666666666
6060,15899,12199.666666666666,6327.916666666667
6070,15243,12671.666666666666,8231.69
6080,13367,14636.333333333334,14393.293333333335
6090,11910,17869.333333333332,25372.066666666666
6100,14631,13197.0,8637.429999999998
6110,12971,14563.666666666666,15523.603333333333
6120,15642,12645.666666666666,9349.593333333334
6130,15495,12537.0,7785.143333333333
6140,15503,12572.333333333334,9072.25
6150,14602,13268.0,9973.816666666668
6160,13960,13898.0,13899.436666666666
6170,13661,14272.333333333334,15634.836666666664
6180,14931,12967.333333333334,7233.149999999999
6190,13014,15210.666666666666,20303.423333333336
6200,14488,13330.0,9622.019999999999
6210,14795,13194.0,9123.396666666666
6220,15451,12585.0,6710.54
6230,11824,16720.666666666668,21124.823333333334
6240,11847,17771.0,26057.05666666666
6250,14573,13636.666666666666,11200.31
6260,13961,13988.333333333334,9980.756666666666
6270,13575,14117.333333333334,17092.073333333334
6280,15815,12480.333333333334,8435.126666666667
6290,15242,12707.0,6922.893333333333
6300,14935,12928.666666666666,9448.616666666667
6310,13636,14271.666666666666,10481.486666666666
6320,12788,15903.0,21747.743333333336
6330,15425,12565.0,7493.406666666667
6340,13603,14576.666666666666,19623.61333333333
6350,14024,13792.333333333334,9295.436666666666
6360,14184,13634.0,8985.383333333333
6370,15368,12603.333333333334,7492.59
6380,13299,14220.0,14459.023333333333
6390,12430,14787.333333333334,16154.423333333334
6400,14786,14083.666666666666,15142.06
6410,14141,13680.666666666666,9519.563333333334
6420,14280,13490.0,12829.406666666668
6430,14700,13261.666666666666,9652.37
6440,14479,13516.666666666666,10426.966666666667
6450,14971,12897.666666666666,8629.193333333333
6460,14319,13594.333333333334,9494.9
6470,11695,17280.666666666668,21821.68333333333
6480,15042,12939.333333333334,9598.62
6490,12823,15692.333333333334,19741.12
6500,14940,12808.666666666666,7974.016666666667
6510,14048,14004.666666666666,9804.943333333335
6520,13912,14113.666666666666,11081.473333333333
6530,13251,14755.333333333334,14925.31
6540,11979,15833.666666666666,17276.116666666665
6550,13413,14843.333333333334,17834.96
6560,14513,13141.333333333334,7865.330000000001
6570,14490,13511.666666666666,8204.736666666666
6580,14376,13683.0,12111.153333333334
6590,13356,14500.333333333334,11620.736666666666
6600,14857,12927.0,6833.3533333333335
6610,13555,14184.666666666666,12901.443333333335
6620,12984,14544.333333333334,13855.176666666666
6630,14851,13752.333333333334,15670.31
6640,15158,12723.666666666666,7505.653333333333
6650,14778,13151.666666666666,8300.903333333334
6660,14500,13383.666666666666,8532.396666666667
6670,13297,14597.0,11751.050000000001
6680,13648,13969.666666666666,12457.743333333332
6690,14038,14095.333333333334,10867.14
6700,13621,14586.333333333334,17898.623333333333
6710,14968,12939.0,7365.19
6720,14044,13708.666666666666,7545.240000000001
6730,14095,13488.0,8512.803333333333
6740,14071,13910.0,10093.883333333333
6750,14848,13140.333333333334,9650.276666666667
6760,13700,13528.0,10408.88
6770,14761,13586.333333333334,10277.253333333334
6780,14404,13719.333333333334,13479.07
6790,15075,12386.0,7340.126666666666
6800,14188,14064.666666666666,10025.02
6810,15363,12539.0,7567.696666666667
6820,12988,14565.333333333334,12514.103333333333
6830,11561,17183.333333333332,22044.983333333334
6840,14063,14211.0,13667.886666666667
6850,14496,13574.333333333334,10700.910000000002
6860,14389,13402.666666666666,7333.463333333333
6870,14686,13188.666666666666,6804.846666666667
6880,14606,13169.0,7682.139999999999
6890,13659,14109.666666666666,10001.18
6900,15761,12273.333333333334,6141.3533333333335
6910,14204,13572.666666666666,12489.746666666668
6920,14042,13793.333333333334,11084.603333333333
6930,15626,12105.333333333334,7785.52
6940,15321,12924.666666666666,8961.346666666666
6950,13337,14524.666666666666,15484.720000000001
6960,14930,12906.333333333334,6953.233333333334
6970,14879,13108.333333333334,9335.633333333333
6980,12415,15550.333333333334,16541.116666666665
6990,14120,13843.666666666666,11959.283333333333
7000,15667,12324.666666666666,6721.886666666666
7010,14621,13197.666666666666,7305.990000000001
7020,13699,14223.333333333334,7690.333333333333
7030,14973,12864.333333333334,7018.25
7040,12763,15103.333333333334,8937.726666666667
7050,14063,13949.333333333334,8569.61
7060,15115,12565.666666666666,7365.73
7070,13417,14789.666666666666,16458.166666666668
7080,14786,13104.0,8499.973333333333
7090,14314,13588.0,9915.13
7100,12021,16328.666666666666,26159.176666666666
7110,14445,13398.666666666666,7094.5
7120,15213,12765.666666666666,8301.949999999999
7130,13215,14678.0,19658.23
7140,14553,13481.666666666666,11611.169999999998
7150,15157,12712.333333333334,7385.95
7160,14095,13744.666666666666,9317.0
7170,14926,12965.666666666666,6274.12
7180,15419,13209.666666666666,6823.876666666667
7190,12867,15033.0,7930.566666666667
7200,13464,14224.333333333334,11229.426666666666
7210,15029,13002.666666666666,7650.096666666667
7220,12315,15705.0,17285.11
7230,14891,13032.333333333334,7222.053333333332
7240,14639,13231.333333333334,9804.523333333333
7250,13312,14720.666666666666,17355.396666666667
7260,12595,15970.0,18188.78333333333
7270,14802,13034.333333333334,6956.350000000001
7280,13878,13962.333333333334,12581.07
7290,14615,13303.0,9618.516666666668
7300,14675,13220.333333333334,7419.486666666667
7310,14083,13575.666666666666,8443.083333333334
7320,14664,13295.666666666666,8920.853333333333
7330,14454,13278.0,7063.823333333334
7340,13285,14603.333333333334,7680.2266666666665
7350,12720,15060.0,9418.756666666666
7360,13799,14429.333333333334,11492.136666666665
7370,12413,15643.333333333334,13710.263333333334
7380,14049,13840.0,8028.846666666667
7390,14614,13230.666666666666,9964.723333333333
7400,13409,15123.666666666666,18108.283333333333
7410,13045,15121.333333333334,13025.553333333335
7420,13252,15032.666666666666,14142.843333333332
7430,13856,13495.333333333334,7790.610000000001
7440,13511,14840.666666666666,16264.756666666668
7450,14537,13349.0,7615.596666666667
7460,14321,13317.0,7928.599999999999
7470,14352,13658.666666666666,11099.916666666666
7480,13386,14421.0,10064.823333333334
7490,14154,13701.0,8180.863333333332
7500,13385,14702.0,9163.823333333334
7510,13201,14697.0,12065.419999999998
7520,13875,14209.333333333334,8869.33
7530,14079,13703.666666666666,7324.06
7540,13910,13650.333333333334,11523.046666666667
7550,14853,13266.333333333334,8756.493333333334
7560,14064,13759.0,11125.57
7570,12661,15821.333333333334,16747.36333333333
7580,13693,14129.666666666666,7739.57
7590,13300,14540.666666666666,12042.81
7600,13504,14446.333333333334,11170.456666666665
7610,14072,13629.0,7938.009999999999
7620,14596,13169.333333333334,7857.393333333333
7630,13580,14615.0,11607.393333333333
7640,14361,13431.333333333334,9231.38
7650,13148,14765.666666666666,11519.253333333332
7660,14290,13619.0,8496.466666666667
7670,13957,13958.333333333334,10162.763333333334
7680,13899,13880.333333333334,7618.983333333333
7690,13635,14167.666666666666,12373.46
7700,13080,14920.333333333334,16772.033333333333
7710,14575,13275.333333333334,6738.903333333333
7720,14057,13605.666666666666,8973.243333333334
7730,13511,14823.0,12599.496666666666
7740,13273,14609.666666666666,11344.373333333331
7750,13029,14245.333333333334,11504.363333333333
7760,13604,15492.0,16207.546666666667
7770,14345,13411.666666666666,8128.466666666667
7780,13085,15015.333333333334,12731.893333333333
7790,13895,13864.333333333334,10460.6
7800,13878,13950.333333333334,11104.043333333333
7810,15175,12648.0,7031.169999999999
7820,14409,13493.333333333334,8890.76
7830,14372,13317.0,8396.883333333333
7840,13609,13845.666666666666,8678.826666666666
7850,12127,16236.0,21953.373333333333
7860,14569,13359.0,7986.163333333333
7870,15014,12833.666666666666,5717.623333333333
7880,14815,13037.0,7167.833333333333
7890,13733,13989.0,7931.133333333334
7900,13407,14364.666666666666,12019.049999999997
7910,13485,15188.666666666666,16273.063333333334
7920,14266,13450.333333333334,7969.56
7930,13754,13879.666666666666,11052.276666666667
7940,13994,13949.666666666666,11949.133333333333
7950,13727,14172.0,10923.74
7960,12525,15743.666666666666,21106.446666666667
7970,13445,14713.666666666666,13432.12
7980,14476,13165.666666666666,8953.143333333333
7990,14070,13007.0,7809.813333333334
8000,11911,16223.0,21851.543333333335
8010,13911,14630.0,16827.42
8020,13492,14507.0,12507.596666666666
8030,13370,15065.666666666666,23099.569999999996
8040,14468,13316.0,8032.56
8050,14427,13508.0,8892.62
8060,12019,16869.666666666668,21799.043333333335
8070,14971,12927.0,8556.6
8080,14876,12800.333333333334,8374.456666666665
8090,13457,14511.666666666666,12981.796666666667
8100,13915,14130.333333333334,12492.720000000001
8110,13093,14967.666666666666,18559.276666666665
8120,14194,13811.333333333334,12554.846666666666
8130,11329,23747.333333333332,46902.41333333333
8140,14358,13082.333333333334,11209.536666666667
8150,12227,16414.0,25324.233333333334
8160,15112,12942.0,10523.42
8170,13478,14411.0,13107.5
8180,13467,14882.333333333334,22499.006666666668
8190,14846,13019.666666666666,8785.473333333333
8200,15167,12675.666666666666,6892.156666666667
8210,13820,13985.333333333334,11797.166666666666
8220,14889,13164.666666666666,11002.42
8230,14931,13118.0,11033.403333333334
8240,13830,14066.666666666666,11510.720000000001
8250,12425,14805.333333333334,12520.813333333334
8260,10441,28156.333333333332,69585.89333333333
8270,14377,15619.333333333334,20352.336666666666
8280,11249,23252.0,50300.463333333326
8290,14053,13818.666666666666,12405.576666666666
8300,13817,14235.666666666666,21675.329999999998
8310,14948,13078.333333333334,12238.31
8320,13972,14050.333333333334,12610.336666666668
8330,13406,15315.333333333334,23960.5
8340,15587,12379.0,8126.996666666667
8350,15592,12372.333333333334,6521.740000000001
8360,13692,14219.666666666666,13246.01
8370,15069,12948.666666666666,11212.046666666667
8380,15073,12921.0,11062.866666666669
8390,14044,13843.0,12820.893333333333
