Time,TPS,Responsetime,Responsetimestandarddeviation
3260,13419,14414.333333333334,12522.993333333332
3270,13309,14516.0,13677.36
3280,12807,15023.0,12548.37
3290,13595,14277.666666666666,12161.003333333334
3300,13508,14350.333333333334,15493.910000000002
3310,12125,15954.666666666666,44181.48
3320,13530,14285.666666666666,20121.963333333333
3330,14023,13772.0,10418.456666666665
3340,13245,14591.666666666666,14685.050000000001
3350,14011,13797.0,12078.590000000002
3360,13770,14044.0,13017.286666666667
3370,13129,14701.666666666666,15072.746666666666
3380,13741,14044.0,12025.273333333333
3390,13393,14402.666666666666,12951.863333333333
3400,13597,14190.666666666666,12857.743333333332
3410,13706,14066.666666666666,11066.653333333334
3420,13853,13917.333333333334,10687.243333333334
3430,13090,14723.333333333334,16191.413333333332
3440,14003,13765.0,17705.27
3450,13620,14186.333333333334,22561.899999999998
3460,12453,15439.333333333334,23974.10666666667
3470,13393,14436.666666666666,13556.483333333335
3480,14021,13743.666666666666,13836.666666666666
3490,14446,13343.0,10641.983333333332
3500,14000,13770.0,14794.666666666666
3510,14047,13727.666666666666,13548.313333333334
3520,14700,13111.0,11446.730000000001
3530,13346,14442.0,15564.296666666667
3540,12896,14976.333333333334,14709.496666666668
3550,13852,13913.666666666666,13034.089999999998
3560,13419,14373.0,14944.816666666666
3570,13696,14066.333333333334,13465.043333333335
3580,14113,13661.0,12266.64
3590,14289,13491.0,10888.336666666668
Total,13739,13973.0,10821.326666666666
